PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23
Killamon Daru,Bear Branch Sportsfield Park,Main,2022-04-01 15:24,56,2,2,3,3,2,4,3,3,3,4,3,4,2,4,3,4,4,2,3,,,,,
BurtRuckus,Bear Branch Sportsfield Park,Main,2022-04-01 15:24,66,12,5,4,5,5,4,4,3,3,2,3,4,3,4,3,4,4,3,3,,,,,
Discer,Bear Branch Sportsfield Park,Main,2022-04-01 15:24,61,7,4,4,4,2,2,5,4,3,3,3,5,4,3,3,3,3,4,2,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-03-30 16:49,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-03-30 16:49,58,4,4,2,2,3,4,4,3,2,2,2,5,3,4,4,3,3,4,4,,,,,
Henning,Bear Branch Sportsfield Park,Main,2022-03-30 16:49,60,6,2,3,5,3,3,3,3,2,2,5,4,4,3,3,4,3,5,3,,,,,
Alex,Bear Branch Sportsfield Park,Main,2022-03-30 16:49,67,13,4,3,4,3,5,4,3,3,4,4,4,5,3,3,3,5,5,2,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-03-29 16:31,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-03-29 16:31,57,3,3,3,3,3,3,4,3,3,3,3,4,3,4,3,3,3,3,3,,,,,
Jason D.,Bear Branch Sportsfield Park,Main,2022-03-29 16:31,62,8,5,3,3,3,4,4,3,3,3,3,4,4,4,3,3,3,3,4,,,,,
Par,Bear Branch Sportsfield Park,Main,2022-03-25 15:31,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Cody,Bear Branch Sportsfield Park,Main,2022-03-25 15:31,51,-3,2,3,3,3,3,3,3,2,3,2,3,2,3,3,3,3,4,3,,,,,
